Images read by center camera,Images read by Left camera,Images read by Right Camera,Steering ,Throttle,Brake,speed
Center_2021_08_22_22_35_15_306.jpg,Left_2021_08_22_22_35_15_306.jpg,Right_2021_08_22_22_35_15_306.jpg,0,0,0,5.00E-06
Center_2021_08_22_22_35_15_396.jpg,Left_2021_08_22_22_35_15_396.jpg,Right_2021_08_22_22_35_15_396.jpg,0,0,0,1.94E-05
Center_2021_08_22_22_35_15_491.jpg,Left_2021_08_22_22_35_15_491.jpg,Right_2021_08_22_22_35_15_491.jpg,0,0,0,8.46E-06
Center_2021_08_22_22_35_15_583.jpg,Left_2021_08_22_22_35_15_583.jpg,Right_2021_08_22_22_35_15_583.jpg,0,0,0,5.22E-06
Center_2021_08_22_22_35_15_676.jpg,Left_2021_08_22_22_35_15_676.jpg,Right_2021_08_22_22_35_15_676.jpg,0,0,0,1.90E-05
Center_2021_08_22_22_35_15_778.jpg,Left_2021_08_22_22_35_15_778.jpg,Right_2021_08_22_22_35_15_778.jpg,0,0.143532,0,0.06333359
Center_2021_08_22_22_35_15_865.jpg,Left_2021_08_22_22_35_15_865.jpg,Right_2021_08_22_22_35_15_865.jpg,0,0.4127817,0,0.456302
Center_2021_08_22_22_35_15_959.jpg,Left_2021_08_22_22_35_15_959.jpg,Right_2021_08_22_22_35_15_959.jpg,0,0.6960477,0,1.01916
Center_2021_08_22_22_35_16_056.jpg,Left_2021_08_22_22_35_16_056.jpg,Right_2021_08_22_22_35_16_056.jpg,0,0.9778365,0,1.960317
Center_2021_08_22_22_35_16_143.jpg,Left_2021_08_22_22_35_16_143.jpg,Right_2021_08_22_22_35_16_143.jpg,0,1,0,3.052238
Center_2021_08_22_22_35_16_235.jpg,Left_2021_08_22_22_35_16_235.jpg,Right_2021_08_22_22_35_16_235.jpg,0,1,0,3.977739
Center_2021_08_22_22_35_16_328.jpg,Left_2021_08_22_22_35_16_328.jpg,Right_2021_08_22_22_35_16_328.jpg,0,1,0,5.143775
Center_2021_08_22_22_35_16_425.jpg,Left_2021_08_22_22_35_16_425.jpg,Right_2021_08_22_22_35_16_425.jpg,0,1,0,6.298435
Center_2021_08_22_22_35_16_534.jpg,Left_2021_08_22_22_35_16_534.jpg,Right_2021_08_22_22_35_16_534.jpg,0,0.8087674,0,7.31611
Center_2021_08_22_22_35_16_612.jpg,Left_2021_08_22_22_35_16_612.jpg,Right_2021_08_22_22_35_16_612.jpg,0,0.5739462,0,7.899923
Center_2021_08_22_22_35_16_708.jpg,Left_2021_08_22_22_35_16_708.jpg,Right_2021_08_22_22_35_16_708.jpg,-0.25,0.2870727,0,8.27211
Center_2021_08_22_22_35_16_801.jpg,Left_2021_08_22_22_35_16_801.jpg,Right_2021_08_22_22_35_16_801.jpg,-0.5000001,0.008897454,0,8.234354
Center_2021_08_22_22_35_16_895.jpg,Left_2021_08_22_22_35_16_895.jpg,Right_2021_08_22_22_35_16_895.jpg,0,0,0,8.104733
Center_2021_08_22_22_35_16_990.jpg,Left_2021_08_22_22_35_16_990.jpg,Right_2021_08_22_22_35_16_990.jpg,0,0,0,8.011387
